,L1_attention-mean_word-mean_norm,L2_attention-mean_word-mean_norm,L3_attention-mean_word-mean_norm,L4_attention-mean_word-mean_norm,L5_attention-mean_word-mean_norm,L6_attention-mean_word-mean_norm,L7_attention-mean_word-mean_norm,L8_attention-mean_word-mean_norm,L9_attention-mean_word-mean_norm,L10_attention-mean_word-mean_norm,L11_attention-mean_word-mean_norm,L12_attention-mean_word-mean_norm,L13_attention-mean_word-mean_norm,L14_attention-mean_word-mean_norm,L15_attention-mean_word-mean_norm,L16_attention-mean_word-mean_norm,L17_attention-mean_word-mean_norm,L18_attention-mean_word-mean_norm,L19_attention-mean_word-mean_norm,L20_attention-mean_word-mean_norm,L21_attention-mean_word-mean_norm,L22_attention-mean_word-mean_norm,L23_attention-mean_word-mean_norm,L24_attention-mean_word-mean_norm
study_2_allenai-longformer-base-4096-True,-0.042553802785207845,0.02829491635463913,0.06401835232358044,0.04298171674784217,0.007742663165469947,-0.017808186841246857,-0.015399481584461205,-0.007742015108645809,-0.047289656435894,-0.05380133478505566,-0.04007035249587297,-0.036727686889736946,,,,,,,,,,,,
study_2_xlnet-base-cased-True,-0.10252286123960946,0.05933434021779684,-0.025608838120142224,-0.007780850360307225,-0.0044833786855157124,0.02220489029586757,-0.024969976086988147,0.016562669116886534,0.06345751290452749,-0.004136439394863009,0.049925529155009835,-0.0073774783440120366,,,,,,,,,,,,
study_2_google-bigbird-roberta-base-True,0.20904173433637865,0.2290224209919869,0.25172587234062643,0.1457906281273992,0.16196722238152364,0.19228379731266562,0.1475313133933748,0.14032274057932306,0.10769125122908921,0.11538960462275641,0.1431705933477909,0.16588181569911287,,,,,,,,,,,,
study_2_distilbert-base-multilingual-cased-True,0.14544120328950236,-0.09002851876155196,0.19054467749661624,0.14360030069915009,0.20056095857738832,0.18594865307445796,,,,,,,,,,,,,,,,,,
study_2_bert-base-uncased-True,0.3327770144154446,0.022878113267022486,0.074774409886961,0.10225122822998838,0.17283704157578106,0.14138755447719947,0.12599648893826168,0.04912929883988445,0.1200917861011325,0.24558121650592515,0.2398623946900528,0.0707855761409717,,,,,,,,,,,,
study_2_albert-large-v2-True,0.03802492946491452,0.14918357399447116,0.00990541726368193,0.028747624578885148,0.03996406924368136,0.006215381775285582,0.0015073753575184402,0.060437713214612096,0.04663996952927224,0.04404358240001274,0.08332860156980394,0.06599631465132806,0.07321051161938992,0.10540979373886526,0.11201988090327657,0.11961065106416272,0.09089429964533138,0.10691790517423809,0.12276440150166774,0.11099706083794511,0.12394258307514613,0.1065435733492665,0.09406904994321011,0.03768556661117782
study_2_bert-large-cased-True,0.24949461728003977,0.14804587305234088,-0.1235545499802817,-0.136235503878672,-0.1221179733057953,-0.11077729427525629,-0.11036744317837616,-0.04789212895525186,-0.02665650703267379,-0.04552010928089815,-0.03270854875129854,-0.07213960244125885,-0.08631686957195511,-0.05765536556119741,0.05944701367228658,0.009004866706749421,0.07152982345899758,0.08766008658787983,0.08427301136084456,0.18647945647355454,0.17605161998632213,0.17713152434951873,0.10274511510725959,0.16527061796870207
study_2_google-bigbird-roberta-large-True,0.16707631375516954,-0.1405054975963871,-0.042346040301224463,0.20725442994996804,0.12406011526543628,0.1209261614471547,0.027701465274958332,0.022976126954942354,0.005038519976960886,0.106063827306382,0.0773254050527668,0.1433251352189148,0.16502317263421865,0.12408595140883272,0.11523978411507801,0.11275739792237556,0.11047448897088608,0.1891465475554509,0.1465536707281239,0.12040473633021498,0.0890663894364601,0.16284563677229416,0.16460896388265048,0.07384905596295459
study_2_bert-base-multilingual-cased-True,0.1130899362365049,-0.11958296187319238,0.04241319009868408,0.143925534076057,0.16411117514722912,0.1357697736018393,0.14198970935181515,0.09150951173127063,0.1224621555495103,0.08702942606121113,0.1294242897953725,-0.06719369955497273,,,,,,,,,,,,
study_2_roberta-base-True,0.05412421117069325,0.0332499048743666,0.025940909927382155,0.022742165160362673,0.029261126352751167,0.026651603157063698,0.02105305422014598,0.03416611536762963,0.04049991512936027,0.009568980753617876,0.02896859768312684,0.025294463435474455,,,,,,,,,,,,
study_2_facebook-bart-large-True,-0.0015263874585241647,0.00618627621065928,0.0044584077037709835,0.0013862053063236218,0.012356314080507412,-0.010532085252420224,-0.0030989436471777904,0.01465200807364481,0.0031243798616628123,0.0013791199411847873,-0.0051097800820654555,0.005030236940528619,,,,,,,,,,,,
study_2_albert-xlarge-v2-True,0.19491404997242348,0.06774842318578378,0.10822657210375583,0.0923550370883623,0.09221088805784779,0.06631694673039097,0.0763238628294532,0.10039844698720787,0.07772599379157621,0.08794960680315679,0.10212019947624762,0.06634371297657218,0.0841278077000464,0.11811312188914141,0.06890197062397109,0.08855342009344684,0.09301245453179045,0.0712621468002393,0.08273953322776054,0.08752886232190955,0.09369915324420831,0.06828301094988157,0.12083460601763214,0.043293738107913184
study_2_bert-base-cased-True,0.32581170843660884,0.030883665859746053,0.04657934207928101,0.0675065279107726,0.10167478462369442,0.12603141193843295,0.10183251066702093,0.05194679434605521,0.11812614143520218,0.14448866851858924,0.16692908074232943,0.20346082706353627,,,,,,,,,,,,
study_2_bert-large-uncased-True,0.3723905997290481,0.09185601118701145,-0.20218421089648764,-0.19228048712566506,-0.17580810112151016,-0.06260724833640088,-0.1074926058011748,0.05334614676300781,-0.07254207274866149,-0.13201419311173165,-0.14091155121299204,-0.04684512256687285,0.04326557514972589,0.21099803605966783,0.12831454561476283,0.018119717560765254,0.15106660392671312,0.1508344454581913,0.17788730851159373,0.1610384669545358,0.2355119314648135,0.14834834534438224,0.08411969096792354,0.16094024843583915
study_2_albert-base-v2-True,0.06035484658653676,0.22819090274757034,0.15774361590079017,0.14550547989548404,0.1427632908055539,0.16693357590109997,0.16527222398133146,0.17101905691274677,0.17895907139941855,0.2027846632963981,0.23282490440624307,0.12241065092189073,,,,,,,,,,,,
